1	2	3	4	5
1475, 4				
1500, 5				
1552, 4				
2120, 2 3 4 5				
2206, 2 3 4 5				
2913, 2 3 4				
3021, 2 3 4				
3272, 4				
4051, 2 3 4 5				
7421, 2 3 4 5				
7690, 2 3 4 5				
8736, 2 3 4 5				
9331, 2 3 4 5				
9921, 2 3 4 5				
	2587, 1 3 4			
	4217, 1 3 4 5			
	7408, 1 3 4 5			
	9293, 3 5			
	9408, 1 3 4 5			
	9930, 1 3 4 5			
		1354, 1 2 4 5		
		2361, 1		
		2476, 1 2 4		
		3001, 4 5		
		3041, 1 2		
		3322, 1 4		
		3367, 2 5		
		3507, 2 5		
		3871, 1 4		
		4213, 1 2 4 5		
		7246, 1 2 4 5		
		7456, 1 2 4 5		
			1274, 1 2 5	
			1779, 3	
			2490, 1 2 3	
			2841, 5	
			3060, 1 2 3	
			3131, 1 5	
			4137, 1 2 3 5	
			7473, 1 2 3 5	
			7861, 1 2 3 5	
				1220, 1 2 3 4
				2420, 1 2 3 4
				2726, 1 2 3 4
				3278, 2
				4747, 1 2 3 4
				7876, 2 3
				9830, 1 2 3 4
