1	2	3	4	5
775, 2 3 4 5				
1908, 5				
1978, 3 5				
5512, 5				
5512, 1
6439, 2 5				
6576, 2 3 4 5				
9273, 2 3 4 5				
9712, 2 3 4 5				
	826, 1 4 5			
	1876, 4			
	4418, 4			
	5553, 3 4			
	6387, 1 3 4 5			
	6996, 1 3 4 5			
	9117, 4			
	9553, 1 3 4 5			
	9869, 1 3 4 5			
		1295, 1 2 4 5		
		1573, 2 4		
		1821, 1		
		2012, 1 5		
		5529, 2 4		
		7327, 1 2 4 5		
		9188, 1 2 4		
		9828, 1 2 4 5		
			1198, 1 2 3 5	
			1946, 2	
			4366, 2	
			5515, 2 3	
			7153, 1 2 3 5	
			9152, 2	
				999, 1 2 3 4
				1925, 1
				2135, 1 3
				6635, 1 2 4
				9416, 4
