1	2	3	4	5
1581, 5				
1903, 5				
2586, 3 5				
5629, 5				
6430, 2 3 4 5				
9153, 2 3 4 5				
9755, 4 5				
9900, 2 3 4				
	1508, 1 4 5			
	1617, 4 3			
	1873, 4			
	4360, 4			
	5674, 3 4			
	6377, 1 3 4 5			
	6567, 1 4 5			
	9130, 1 3 4 5			
	9723, 3			
	9868, 1 3 4 5			
		1644, 2 4 5		
		1838, 1 5		
		2633, 1 5		
		5496, 4		
		5826, 2 4		
		7086, 1 2 4 5		
			1639, 2 3	
			1911, 2	
			4433, 2	
			5498, 3	
			6224, 2 3	
			7153, 1 2 5	
			9296, 1 2 3 5	
				1902, 1
				2031, 1 3
				2651, 1 3
				5506, 1
				6933, 1 4
				9716, 1 4
