1	2	3	4	5
1482, 2 3 4 5				
2225, 2 3 4 5				
2434, 2 3 4 5				
3256, 4				
4030, 2 3 4 5				
4235, 2 3 4 5				
7475, 2 3 4 5				
9338, 2 3 4 5				
9904, 2 3 4 5				
	1288, 1 3 4 5			
	1950, 1 3 4 5			
	2206, 1 3 4 5			
	2446, 1 3 4 5			
	3291, 5			
	4070, 1 3 4 5			
	4193, 1 3 4 5			
	7457, 1 3 4 5			
	9912, 1 3 4 5			
		1377, 1 2 4 5		
		1650, 1 2 4 5		
		2175, 1 2 4 5		
		2425, 1 2 4 5		
		3994, 1 2 4 5		
		4210, 1 2 4 5		
		7423, 1 2 4 5		
		9904, 1 2 4 5		
			1340, 1 2 3 5	
			1620, 1 2 3 5	
			2228, 1 2 3 5	
			2415, 1 2 3 5	
			3990, 1 2 3 5	
			4160, 1 2 3 5	
			7461, 1 2 3 5	
			9910, 1 2 3 5	
				1211, 1 2 3 4
				2183, 1 2 3 4
				2402, 1 2 3 4
				4050, 1 2 3 4
				4200, 1 2 3 4
				7438, 1 2 3 4
				9917, 1 2 3 4
