1	2	3	4	5
1256, 5				
1450, 2				
1486, 2 3 4 5				
2240, 2 3 4 5				
2368, 3				
2410, 2 3 4 5				
3077, 3 4 5				
4218, 2 3 4 5				
5611, 2 3 4 5				
	1220, 1 3 4 5			
	1401, 1 3 4 5			
	1992, 1 3 4 5			
	2583, 1 3 4			
	2990, 1			
	3637, 5			
	3835, 1 3 4 5			
	4216, 1 3 4 5			
	4875, 1 3 4 5			
	5751, 1 3 4 5			
	6933, 1 3 4 5			
	7322, 1 3 4 5			
	7553, 1 3 5			
	8121, 1 3 4 5			
	9341, 1 3 4 5			
		1388, 1 2 4 5		
		1753, 1 2 4 5		
		2197, 1 2 4 5		
		2451, 1 2 4 5		
		3336, 1 4		
		3370, 2 5		
		3457, 1 4		
		3515, 2 5		
		3676, 2 5		
		4220, 1 2 4 5		
		5680, 1 2 4 5		
		5995, 1 2 4 5		
		7455, 1 2 4 5		
		7702, 1 2 5		
		8314, 1 2 4 5		
		8868, 1 2 4 5		
			1283, 1 2 5	1283, 1 2 3 4
			1597, 1 2 3 5	
			2559, 1 2 3	
			2978, 5	
			3226, 1	
			4185, 1 2 3 5	
			4960, 1 2 3 5	
			5319, 1 2 3 5	
			7489, 1 2 3 5	
			7784, 1 2 3 5	
			8466, 1 2 3 5	
				2782, 1 2 3 4
				3269, 2
				3715, 1 4
				3756, 2
				4219, 1 2 3 4
				5232, 1 2 3 4
				5993, 1 2 3 4
				6479, 1 2 3 4
				7046, 1 2 3 4
				7528, 1 2 3
				7903, 1 2 3 4
				9467, 1 2 3 4
