1	2	3	4	5
899, 2 3 4 5				
1917, 5				
2593, 3 5				
3101, 3 5	
6555, 2 3 4 5				
9172, 2 3 4 5				
9853, 2 3 4 5				
	827, 1 3 4 5			
	1633, 1 3 4 5			
	1932, 4			
	4363, 4			
	5461, 3 4			
	6555, 1 3 4 5			
	9160, 1 3 4 5			
	9834, 1 3 4 5			
		1308, 1 2 4 5		
		1624, 1 2 4 5		
		2594, 1 5		
		3094, 1 5		
		3260, 1 5		
		3545, 1 5		
		5491, 2 4		
		6391, 1 2 4 5		
		6729, 1 2 4 5		
		9173, 1 2 4 5		
		9832, 1 2 4 5		
			1215, 1 2 3 5	
			1633, 1 2 3 5	
			1926, 2	
			4372, 2	
			5465, 2 3	
			6403, 1 2 3 5	
			6600, 1 2 5	
			9187, 1 2 3 5	
			9843, 1 2 3 5	
				987, 1 2 3 4
				1916, 1
				2681, 1 3
				3541, 1 3
				5619, 1
				6397, 1 2 3 4
				6575, 1 2 3 4
				9182, 1 2 3 4
				9834, 1 2 3 4
