1	2	3	4	5			
1928, 3 5				
2664, 3 5				
3491, 3 5	
5647, 5	
6590, 2 3 4 5				
9216, 2 3 4 5				
9893, 2 3 4 5							
	1942, 4			
	4690, 4			
	5530, 3 4			
	6623, 1 3 4 5			
	9274, 1 3 4 5			
	9846, 1 3 4 5			
		2085, 1 5		
		2372, 1 5			
		2359, 1 5		
		5548, 2 4		
		6643, 1 2 4 5			
		9274, 1 2 4 5		
		9854, 1 2 4 5		
			2058, 2
			4534, 2	
			5601, 2 3	
			6401, 1 2 3 5	
			6662, 1 2 3 5	
			9229, 1 2 3 5	
			9944, 1 2 3 5	
				2058, 1
				2632, 1 3
				2951, 1 3
				3256, 1 3
				5686, 1
				6617, 1 2 3 4
				9118, 1 2 3 4
				9846, 1 2 3 4
