1	2	3	4	5
1285, 2 3 4 5				
1989, 2 3 4 5				
4108, 2 3 4 5				
4801, 4	
6387, 2 3 4 5				
7982, 2 3 4 5				
	1122, 1 3 4 5			
	2232, 1 3 4 5			
	2412, 1 3 4 5			
	3150, 1 3 4 5			
	4101, 1 3 4 5			
	6375, 1 3 4 5			
	7983, 1 3 4 5			
		748, 1 2 4 5		
		2314, 1 2 4 5		
		4085, 1 2 4 5		
		6293, 1 2 4 5		
		7957, 1 2 4 5		
			598, 1 2 3 5	
			1992, 1 2 3 5	
			4086, 1 2 3 5	
			4536, 1	
			4713, 2 3 5	
			4795, 1	
			5380, 2 3 5	
			5779, 1	
			6310, 1 2 3 5 	
			7960, 1 2 3 5	
				445, 1 2 3 4
				1979, 1 2 3 4
				3039, 1 2 3 4
				4122, 1 2 3 4
				6363, 1 2 3 4
				8009, 1 2 3 4
