1	2	3	4	5
2765, 2 3 4 5				
3589, 3 5				
4870, 3 5				
5804, 3 5				
7332, 2 3 4 5				
8612, 3 5				
8904, 3 5				
9669, 3 4 5				
10369, 4				
	2280, 1 3 4 5			
	3316, 1			
	3585, 4			
	5611, 4			
	6410, 4			
	7306, 1 3 4 5			
	8653, 4			
	8886, 4			
	9708, 1 3 4 5			
	10377, 3 5			
		2233, 1 2 4 5		
		3617, 1 5		
		4884, 1 5		
		5792, 1 5		
		7313, 1 2 4 5		
		8616, 1 5		
		8900, 1 5		
		9733, 1 2 4 5		
		10195, 1 2 4 5		
		10396, 2 5		
			2267, 1 2 3 5	
			3569, 2	
			5606, 2	
			6422, 2	
			7308, 1 2 3 5	
			8655, 2	
			8892, 2	
			9627, 1 2 3 5	
			10362, 1	
				2989, 1 2 3 4
				3494, 1 2 3 4
				3575, 1 3
				4706, 1 3
				5795, 1 3
				7323, 1 2 3 4
				8611, 1 3
				8879, 1 3
				9636, 1 2 3 4
				10381, 2 3
